N0,q,mu_multiplier,mu,mu_critical,alpha_star_theory,final_alpha_stoch_mean,final_alpha_stoch_std,final_alpha_exact,p_value_below_0.5
23,7,0.85,0.5173913043478261,0.6086956521739131,0.5882352941176471,0.6147967345133454,0.06485262174082093,0.5882352941176471,0.9999998571945037
23,7,1.0,0.6086956521739131,0.6086956521739131,0.5,0.520669004301838,0.06348120310255173,0.5,0.9139842367570987
23,7,1.15,0.7,0.6086956521739131,0.4347826086956522,0.4496910750140022,0.06261972969001951,0.4347826086956522,0.001192369538402475
100,7,0.85,0.11900000000000001,0.14,0.5882352941176471,0.5974051384187544,0.03708180366936851,0.5882352941176471,0.9999999997149901
100,7,1.0,0.14,0.14,0.49999999999999994,0.509361929663738,0.0362142290601308,0.5,0.8630798113986282
100,7,1.15,0.161,0.14,0.43478260869565216,0.4438449810340967,0.03472054408599503,0.4347826086956522,5.194898536501072e-07
1000,7,0.85,0.011899999999999999,0.014,0.5882352941176471,0.5888778380568773,0.010127653225586713,0.5879991003397474,1.0
1000,7,1.0,0.014,0.014,0.5,0.5010360960412539,0.010776662836185535,0.49998751857973966,0.6600697378952212
1000,7,1.15,0.0161,0.014,0.43478260869565216,0.4359376139218571,0.011168911660585814,0.4347819802101456,2.6601421771868697e-16
